app_id,app_name,total_reviews,total_positive,steam_consensus,Title,Platform,Metascore,NumberOfCriticReviews,url,Metascore_Normalized,delta
262060,Darkest Dungeon®,40521,36596,0.903136645196318,Darkest Dungeon,PC,84.0,59.0,https://www.metacritic.com/game/darkest-dungeon/critic-reviews/?platform=pc,0.84,0.06313664519631801
678950,DRAGON BALL FighterZ,16864,15220,0.9025142314990512,Dragon Ball FighterZ,PC,85.0,12.0,https://www.metacritic.com/game/dragon-ball-fighterz/critic-reviews/?platform=pc,0.85,0.05251423149905121
863550,HITMAN™ 2,21930,19754,0.9007751937984496,Hitman 2,PC,82.0,24.0,https://www.metacritic.com/game/hitman-2/critic-reviews/?platform=pc,0.82,0.08077519379844966
812140,Assassin's Creed Odyssey,31672,28506,0.9000378883556454,Assassin's Creed Odyssey,PC,86.0,17.0,https://www.metacritic.com/game/assassins-creed-odyssey/critic-reviews/?platform=pc,0.86,0.04003788835564537
242920,Banished,23568,21195,0.8993126272912424,Banished,PC,73.0,32.0,https://www.metacritic.com/game/banished/critic-reviews/?platform=pc,0.73,0.1693126272912424
283640,Salt and Sanctuary,4772,4288,0.8985750209555742,Salt and Sanctuary,PC,84.0,5.0,https://www.metacritic.com/game/salt-and-sanctuary/critic-reviews/?platform=pc,0.84,0.05857502095557421
582010,Monster Hunter: World,97809,87842,0.8980973121082927,Monster Hunter: World,PC,88.0,38.0,https://www.metacritic.com/game/monster-hunter-world/critic-reviews/?platform=pc,0.88,0.018097312108292685
493340,Planet Coaster,22606,20288,0.8974608511014774,Planet Coaster,PC,84.0,61.0,https://www.metacritic.com/game/planet-coaster/critic-reviews/?platform=pc,0.84,0.05746085110147747
527230,For The King,6895,6186,0.8971718636693256,For the King,PC,79.0,13.0,https://www.metacritic.com/game/for-the-king/critic-reviews/?platform=pc,0.79,0.10717186366932552
359550,Tom Clancy's Rainbow Six Siege,371154,332894,0.8969161049052415,Tom Clancy's Rainbow Six Siege,PC,79.0,39.0,https://www.metacritic.com/game/tom-clancys-rainbow-six-siege/critic-reviews/?platform=pc,0.79,0.1069161049052415
524220,NieR:Automata™,34564,31000,0.8968869343825946,NieR: Automata,PC,84.0,14.0,https://www.metacritic.com/game/nier-automata/critic-reviews/?platform=pc,0.84,0.05688693438259462
760060,Mutant Year Zero: Road to Eden,8482,7600,0.8960150907804763,Mutant Year Zero: Road to Eden,PC,78.0,58.0,https://www.metacritic.com/game/mutant-year-zero-road-to-eden/critic-reviews/?platform=pc,0.78,0.11601509078047623
252950,Rocket League,248720,221834,0.891902541009971,Rocket League,PC,86.0,22.0,https://www.metacritic.com/game/rocket-league/critic-reviews/?platform=pc,0.86,0.03190254100997103
782330,DOOM Eternal,72323,64468,0.8913900142416659,DOOM Eternal,PC,88.0,68.0,https://www.metacritic.com/game/doom-eternal/critic-reviews/?platform=pc,0.88,0.011390014241665858
595520,FINAL FANTASY XII THE ZODIAC AGE,2553,2274,0.8907168037602821,Final Fantasy XII: The Zodiac Age,PC,83.0,14.0,https://www.metacritic.com/game/final-fantasy-xii-the-zodiac-age/critic-reviews/?platform=pc,0.83,0.0607168037602821
1222700,A Way Out,4398,3915,0.8901773533424284,A Way Out,PC,78.0,17.0,https://www.metacritic.com/game/a-way-out/critic-reviews/?platform=pc,0.78,0.1101773533424284
